date,location_label,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-12-22,north,18191.32663316583,16836.0,3620074,199
2021-12-22,south,15678.412162162162,16749.5,2320405,148
2021-12-23,north,17855.954773869347,16396.0,3553335,199
2021-12-23,south,14703.141891891892,15836.5,2176065,148
2021-12-24,north,15006.678391959798,13720.0,2986329,199
2021-12-24,south,11968.216216216217,13060.0,1771296,148
2021-12-25,north,8371.115577889448,7881.0,1665852,199
2021-12-25,south,6372.216216216216,6032.5,943088,148
2021-12-26,north,9908.613065326634,9106.0,1971814,199
2021-12-26,south,7420.743243243243,7202.5,1098270,148
2021-12-27,north,11060.78391959799,10121.0,2201096,199
2021-12-27,south,8415.108108108108,8450.0,1245436,148
2021-12-28,north,11796.452261306533,10854.0,2347494,199
2021-12-28,south,9186.466216216217,9947.0,1359597,148
2021-12-29,north,12803.140703517587,11896.0,2547825,199
2021-12-29,south,10028.905405405403,10979.5,1484278,148
2021-12-30,north,13187.879396984925,12057.0,2624388,199
2021-12-30,south,10426.222972972972,10993.0,1543081,148
2021-12-31,north,13095.321608040202,12043.0,2605969,199
2021-12-31,south,10656.898648648648,11196.0,1577221,148
2022-01-01,north,10148.497487437186,9495.0,2019551,199
2022-01-01,south,8342.243243243243,8163.0,1234652,148
2022-01-02,north,11229.391959798995,10424.0,2234649,199
2022-01-02,south,8939.378378378378,9347.0,1323028,148
2022-01-03,north,11744.708542713568,10780.0,2337197,199
